Reading #,Fixed Voltage (V),Tracking Voltage (V)
331,6.62,6.62
332,6.6,6.62
333,6.6,6.62
334,6.6,6.62
335,6.57,6.62
336,6.57,6.65
337,6.55,6.65
338,6.55,6.65
339,6.52,6.65
340,6.5,6.65
341,6.48,6.65
342,6.48,6.67
343,6.48,6.67
344,6.48,6.67
345,6.43,6.72
346,6.4,6.77
347,6.4,6.77
348,6.4,6.79
349,6.4,6.77
350,6.48,6.79
351,6.48,6.82
352,6.48,6.82
353,6.43,6.82
354,6.4,6.79
355,6.43,6.79
356,6.43,6.82
357,6.43,6.84
358,6.4,6.87
359,6.38,6.89
360,6.35,6.92
361,6.38,6.94
362,6.38,6.96
363,6.38,6.96
364,6.38,6.94
365,6.35,6.94
366,6.35,6.94
367,6.33,6.92
368,6.3,6.92
369,6.28,6.84
370,6.28,6.79
371,6.28,6.77
372,6.28,6.77
373,6.3,6.74
374,6.3,6.77
375,6.3,6.77
376,6.3,6.77
377,6.3,6.74
378,6.28,6.72
379,6.3,6.7
380,6.33,6.67
381,6.33,6.67
382,6.35,6.67
383,6.35,6.67
384,6.35,6.67
385,6.35,6.67
386,6.35,6.67
387,6.33,6.67
388,6.33,6.67
389,6.35,6.7
390,6.33,6.7
391,6.33,6.72
392,6.33,6.72
393,6.35,6.74
394,6.35,6.72
395,6.33,6.74
396,6.33,6.74
397,6.33,6.77
398,6.35,6.74
399,6.35,6.72
400,6.35,6.72
401,6.35,6.72
402,6.35,6.72
403,6.35,6.7
404,6.35,6.67
405,6.35,6.7
406,6.35,6.72
407,6.38,6.74
408,6.4,6.79
409,6.45,6.79
410,6.48,6.79
411,6.5,6.77
412,6.52,6.72
413,6.55,6.67
414,6.57,6.67
415,6.55,6.67
416,6.6,6.72
417,6.6,6.74
418,6.6,6.79
419,6.62,6.79
420,6.62,6.79
421,6.62,6.77
422,6.65,6.72
423,6.62,6.67
424,6.65,6.65
425,6.65,6.65
426,6.62,6.65
427,6.62,6.65
428,6.62,6.67
429,6.62,6.65
430,6.62,6.65
431,6.6,6.67
432,6.6,6.65
433,6.6,6.65
434,6.6,6.65
435,6.57,6.65
436,6.6,6.62
437,6.57,6.62
438,6.57,6.62
439,6.6,6.62
440,6.57,6.6
441,6.57,6.62
442,6.6,6.62
443,6.6,6.6
444,6.6,6.6
445,6.6,6.6
446,6.57,6.6
447,6.57,6.62
448,6.57,6.6
449,6.57,6.6
450,6.57,6.6
451,6.57,6.6
452,6.55,6.6
453,6.55,6.62
454,6.52,6.6
455,6.55,6.62
456,6.55,6.6
457,6.55,6.6
458,6.52,6.6
459,6.52,6.6
460,6.52,6.6
461,6.55,6.6
462,6.55,6.6
463,6.57,6.62
464,6.55,6.6
465,6.55,6.62
466,6.55,6.57
467,6.57,6.6
468,6.55,6.6
469,6.55,6.57
470,6.55,6.57
471,6.55,6.6
472,6.55,6.6
473,6.55,6.57
474,6.57,6.6
475,6.57,6.57
476,6.57,6.6
477,6.55,6.6
478,6.57,6.6
479,6.55,6.57
480,6.5,6.6
481,6.5,6.6
482,6.48,6.57
483,6.48,6.6
484,6.5,6.57
485,6.52,6.6
486,6.57,6.6
487,6.57,6.6
488,6.57,6.6
489,6.6,6.57
490,6.57,6.57
491,6.57,6.6
492,6.57,6.6
493,6.57,6.6
494,6.6,6.6
495,6.57,6.6
496,6.6,6.57
497,6.57,6.6
498,6.55,6.57
499,6.55,6.6
500,6.55,6.57
501,6.57,6.57
502,6.55,6.57
503,6.52,6.57
504,6.5,6.6
505,6.52,6.57
506,6.5,6.57
507,6.5,6.57
508,6.5,6.57
509,6.5,6.57
510,6.52,6.6
511,6.52,6.57
512,6.5,6.57
513,6.5,6.6
514,6.48,6.57
515,6.43,6.57
516,6.38,6.57
517,6.4,6.57
518,6.35,6.57
519,6.35,6.57
520,6.35,6.6
521,6.35,6.57
522,6.35,6.57
523,6.38,6.57
524,6.35,6.57
525,6.4,6.57
526,6.43,6.57
527,6.52,6.57
528,6.52,6.57
529,6.52,6.57
530,6.52,6.57
531,6.5,6.57
532,6.48,6.55
533,6.48,6.57
534,6.45,6.57
535,6.43,6.57
536,6.43,6.55
537,6.43,6.55
538,6.45,6.55
539,6.45,6.57
540,6.43,6.55
541,6.4,6.55
542,6.43,6.57
543,6.5,6.55
544,6.43,6.55
545,6.5,6.57
546,6.5,6.57
547,6.5,6.55
548,6.5,6.57
549,6.48,6.57
550,6.48,6.55
551,6.55,6.55
552,6.45,6.57
553,6.48,6.57
554,6.45,6.57
555,6.45,6.57
556,6.45,6.57
557,6.4,6.55
558,6.4,6.55
559,6.4,6.55
560,6.38,6.55
561,6.38,6.55
562,6.35,6.57
563,6.35,6.55
564,6.38,6.55
565,6.38,6.55
566,6.4,6.55
567,6.4,6.55
568,6.4,6.57
569,6.43,6.57
570,6.43,6.55
571,6.43,6.55
572,6.4,6.55
573,6.4,6.55
574,6.4,6.57
575,6.38,6.55
576,6.38,6.55
577,6.4,6.55
578,6.45,6.55
